Fecha;Kc;ET0 (mm);ETc (mm);Pe (mm);ETc - Pe (mm)
01/05/2025;0,50;4,72;2,36;0,00;2,36
02/05/2025;0,50;5,57;2,78;0,00;2,78
03/05/2025;0,50;5,27;2,63;0,00;2,63
04/05/2025;0,50;4,92;2,46;0,00;2,46
05/05/2025;0,50;4,84;2,42;0,00;2,42
06/05/2025;0,50;4,80;2,40;0,00;2,40
07/05/2025;0,50;4,17;2,08;0,00;2,08
08/05/2025;0,50;4,20;2,10;0,00;2,10
09/05/2025;0,50;4,62;2,31;0,00;2,31
10/05/2025;0,50;4,50;2,25;0,00;2,25
11/05/2025;0,50;4,79;2,39;0,00;2,39
12/05/2025;0,50;5,07;2,54;0,00;2,54
13/05/2025;0,50;4,64;2,32;0,00;2,32
14/05/2025;0,50;2,20;1,10;0,17;0,93
15/05/2025;0,50;3,78;1,89;0,00;1,89
16/05/2025;0,50;5,06;2,53;0,00;2,53
17/05/2025;0,50;6,82;3,41;0,00;3,41
18/05/2025;0,50;5,50;2,75;0,00;2,75
19/05/2025;0,50;5,32;2,66;0,00;2,66
20/05/2025;0,50;5,46;2,73;0,00;2,73
21/05/2025;0,50;5,88;2,94;0,00;2,94
22/05/2025;0,50;6,03;3,01;0,00;3,01
23/05/2025;0,50;3,51;1,75;2,34;0,00
24/05/2025;0,50;5,07;2,54;0,00;2,54
25/05/2025;0,50;5,13;2,56;0,00;2,56
26/05/2025;0,50;5,33;2,66;0,00;2,66
27/05/2025;0,50;5,88;2,94;0,00;2,94
28/05/2025;0,50;5,49;2,74;0,00;2,74
29/05/2025;0,50;6,84;3,42;0,00;3,42
30/05/2025;0,50;5,92;2,96;0,00;2,96
31/05/2025;0,50;5,75;2,87;0,00;2,87
01/06/2025;0,70;6,08;4,25;0,00;4,25
02/06/2025;0,70;5,78;4,05;0,00;4,05
03/06/2025;0,70;5,11;3,58;0,00;3,58
04/06/2025;0,70;5,06;3,54;0,00;3,54
05/06/2025;0,70;5,63;3,94;0,00;3,94
06/06/2025;0,70;5,49;3,85;0,00;3,85
07/06/2025;0,70;5,50;3,85;0,00;3,85
08/06/2025;0,70;6,32;4,42;0,00;4,42
09/06/2025;0,70;5,05;3,53;0,00;3,53
10/06/2025;0,70;5,81;4,07;0,00;4,07
11/06/2025;0,70;6,44;4,51;0,00;4,51
12/06/2025;0,70;5,70;3,99;0,00;3,99
13/06/2025;0,70;5,15;3,61;0,00;3,61
14/06/2025;0,70;5,32;3,72;0,00;3,72
15/06/2025;0,70;5,43;3,80;0,00;3,80
16/06/2025;0,70;4,59;3,21;0,00;3,21
17/06/2025;0,70;5,50;3,85;0,00;3,85
18/06/2025;0,70;5,42;3,80;0,00;3,80
19/06/2025;0,70;5,63;3,94;0,00;3,94
20/06/2025;0,70;5,08;3,56;0,00;3,56
21/06/2025;0,70;6,09;4,26;0,00;4,26
22/06/2025;0,70;7,35;5,15;0,00;5,15
23/06/2025;0,70;7,68;5,38;0,00;5,38
24/06/2025;0,70;7,46;5,22;0,00;5,22
25/06/2025;0,70;6,56;4,59;0,00;4,59
26/06/2025;0,70;6,52;4,57;0,00;4,57
27/06/2025;0,70;6,19;4,34;0,00;4,34
28/06/2025;0,70;6,34;4,44;0,00;4,44
29/06/2025;0,70;5,96;4,17;0,00;4,17
30/06/2025;0,70;6,08;4,26;0,00;4,26
01/07/2025;0,90;6,05;5,45;0,00;5,45
02/07/2025;0,90;6,13;5,52;0,00;5,52
03/07/2025;0,90;6,94;6,24;0,00;6,24
04/07/2025;0,90;7,86;7,07;0,00;7,07
05/07/2025;0,90;6,07;5,46;0,00;5,46
06/07/2025;0,90;6,12;5,50;0,00;5,50
07/07/2025;0,90;6,32;5,69;0,00;5,69
08/07/2025;0,90;6,22;5,59;0,00;5,59
09/07/2025;0,90;6,26;5,64;0,00;5,64
10/07/2025;0,90;4,90;4,41;0,00;4,41
11/07/2025;0,90;6,20;5,58;0,00;5,58
12/07/2025;0,90;5,97;5,38;0,00;5,38
13/07/2025;0,90;5,84;5,25;0,00;5,25
14/07/2025;0,90;5,18;4,66;0,00;4,66
15/07/2025;0,90;5,70;5,13;0,00;5,13
16/07/2025;0,90;5,61;5,05;0,00;5,05
17/07/2025;0,90;6,15;5,53;0,00;5,53
21/07/2025;0,90;;;;
22/07/2025;0,90;;;;
23/07/2025;0,90;5,16;4,65;0,00;4,65
24/07/2025;0,90;5,05;4,55;0,00;4,55
25/07/2025;0,90;6,67;6,01;0,00;6,01
26/07/2025;0,90;5,43;4,89;0,00;4,89
27/07/2025;0,90;5,61;5,05;0,00;5,05
28/07/2025;0,90;6,04;5,44;0,00;5,44
29/07/2025;0,90;6,24;5,62;0,00;5,62
30/07/2025;0,90;6,45;5,81;0,00;5,81
31/07/2025;0,90;6,31;5,68;0,00;5,68
01/08/2025;1,00;5,26;5,26;0,00;5,26
02/08/2025;1,00;5,43;5,43;0,00;5,43
03/08/2025;1,00;6,69;6,69;0,00;6,69
04/08/2025;1,00;5,67;5,67;0,00;5,67
05/08/2025;1,00;4,88;4,88;0,00;4,88
06/08/2025;1,00;4,93;4,93;0,00;4,93
07/08/2025;1,00;4,98;4,98;0,00;4,98
08/08/2025;1,00;5,30;5,30;0,00;5,30
09/08/2025;1,00;4,93;4,93;0,00;4,93
10/08/2025;1,00;4,84;4,84;0,00;4,84
11/08/2025;1,00;5,16;5,16;0,00;5,16
12/08/2025;1,00;5,17;5,17;0,00;5,17
13/08/2025;1,00;5,90;5,90;0,00;5,90
14/08/2025;1,00;5,61;5,61;0,00;5,61
15/08/2025;1,00;4,95;4,95;0,00;4,95
16/08/2025;1,00;5,11;5,11;0,00;5,11
17/08/2025;1,00;5,12;5,12;0,00;5,12
18/08/2025;1,00;5,23;5,23;0,00;5,23
19/08/2025;1,00;5,76;5,76;0,00;5,76
20/08/2025;1,00;4,75;4,75;0,00;4,75
21/08/2025;1,00;4,74;4,74;0,00;4,74
22/08/2025;1,00;4,62;4,62;0,00;4,62
23/08/2025;1,00;4,15;4,15;0,00;4,15
24/08/2025;1,00;4,26;4,26;0,00;4,26
25/08/2025;1,00;4,25;4,25;0,00;4,25
26/08/2025;1,00;4,00;4,00;0,00;4,00
27/08/2025;1,00;4,61;4,61;0,00;4,61
28/08/2025;1,00;4,90;4,90;0,00;4,90
29/08/2025;1,00;4,61;4,61;0,00;4,61
30/08/2025;1,00;4,44;4,44;0,00;4,44
31/08/2025;1,00;4,89;4,89;0,00;4,89
01/09/2025;0,30;4,56;1,37;0,00;1,37
02/09/2025;0,30;4,12;1,24;0,00;1,24
03/09/2025;0,30;4,11;1,23;0,00;1,23
04/09/2025;0,30;4,35;1,31;0,00;1,31
05/09/2025;0,30;6,23;1,87;0,00;1,87
06/09/2025;0,30;3,77;1,13;0,00;1,13
07/09/2025;0,30;3,01;0,90;0,00;0,90
08/09/2025;0,30;4,28;1,28;0,00;1,28
09/09/2025;0,30;3,42;1,03;0,00;1,03
10/09/2025;0,30;4,27;1,28;0,00;1,28
11/09/2025;0,30;4,20;1,26;0,00;1,26
12/09/2025;0,30;4,27;1,28;0,00;1,28
13/09/2025;0,30;4,50;1,35;0,00;1,35
14/09/2025;0,30;3,88;1,16;0,00;1,16
15/09/2025;0,30;3,82;1,15;0,00;1,15
16/09/2025;0,30;3,45;1,04;0,00;1,04
17/09/2025;0,30;3,87;1,16;0,00;1,16
18/09/2025;0,30;4,05;1,21;0,00;1,21
19/09/2025;0,30;4,18;1,25;0,00;1,25
20/09/2025;0,30;3,56;1,07;0,00;1,07
21/09/2025;0,30;3,62;1,09;0,00;1,09
22/09/2025;0,30;3,98;1,19;0,00;1,19
23/09/2025;0,30;3,57;1,07;0,00;1,07
24/09/2025;0,30;3,91;1,17;0,00;1,17
25/09/2025;0,30;3,26;0,98;0,00;0,98
26/09/2025;0,30;3,23;0,97;0,00;0,97
27/09/2025;0,30;3,37;1,01;0,00;1,01
28/09/2025;0,30;3,93;1,18;0,00;1,18
29/09/2025;0,30;2,96;0,89;0,00;0,89
30/09/2025;0,30;3,04;0,91;0,00;0,91
